scenario,model,ham_accuracy,accuracy,domain_gap,ham_mel_auc_roc,ham_mel_auc_ci_low,ham_mel_auc_ci_high,mel_auc_roc,pad_mel_auc_ci_low,pad_mel_auc_ci_high,mel_auc_gap,meets_auc_target_ham,meets_auc_target_pad,triage_th,ham_triage_sens,pad_triage_sens,ham_mel_recall,mel_recall,bcc_th,ham_bcc_triage_sens,pad_bcc_triage_sens,ham_bcc_recall,bcc_recall,pad_mal_screen_sens,ham_weighted_f1,weighted_avg_f1
standard,v5,0.7764,0.2341,0.5423,0.8927,0.8642,0.9175,0.8467,0.771,0.9098,0.046,True,False,0.34,0.8257,0.4808,0.7569,0.3654,0.08,0.94,0.6331,0.62,0.284,0.541,0.7819,0.2083
medium,v5,0.7203,0.1584,0.5619,0.9175,0.8945,0.9375,0.8229,0.7501,0.8896,0.0946,True,False,0.55,0.7844,0.2885,0.8853,0.4038,0.02,0.94,0.6296,0.38,0.0852,0.4931,0.7414,0.1194
low,v5,0.5143,0.1719,0.3424,0.8919,0.8627,0.9176,0.8203,0.7536,0.8824,0.0716,True,False,0.68,0.8165,0.4231,0.9908,0.7115,0.04,0.95,0.5929,0.41,0.1053,0.8076,0.5749,0.1627
medium,v3,0.7935,0.255,0.5385,0.8715,0.8424,0.8964,0.7519,0.6833,0.8172,0.1196,False,False,0.19,0.8349,0.5769,0.5505,0.2885,0.1,0.96,0.7609,0.67,0.3574,0.6971,0.7941,0.2265
standard,v3,0.7935,0.255,0.5385,0.8715,0.8424,0.8964,0.7519,0.6833,0.8172,0.1196,False,False,0.19,0.8349,0.5769,0.5505,0.2885,0.1,0.96,0.7609,0.67,0.3574,0.6971,0.7941,0.2265
standard,v2,0.813,0.2211,0.592,0.8679,0.8367,0.8955,0.7423,0.6684,0.8137,0.1256,False,False,0.2,0.7661,0.3269,0.5138,0.0385,0.1,0.9,0.6201,0.69,0.2497,0.5377,0.8105,0.1947
low,v3,0.7764,0.2585,0.518,0.8378,0.8036,0.8686,0.7406,0.6738,0.8041,0.0972,False,False,0.22,0.7752,0.6923,0.4725,0.25,0.11,0.94,0.7811,0.68,0.3988,0.8494,0.779,0.2392
low,v1,0.7684,0.215,0.5535,0.8703,0.8435,0.8957,0.7358,0.6583,0.8091,0.1345,False,False,0.18,0.7844,0.2308,0.4128,0.0577,0.14,0.88,0.3964,0.66,0.1799,0.575,0.7657,0.2022
medium,v2,0.808,0.2411,0.5669,0.8598,0.8282,0.8892,0.7311,0.6566,0.7997,0.1287,False,False,0.23,0.711,0.25,0.4633,0.0962,0.1,0.9,0.5834,0.74,0.2615,0.6201,0.8055,0.2288
medium,v1,0.7935,0.2232,0.5702,0.8639,0.8348,0.8913,0.7152,0.636,0.7975,0.1487,False,False,0.11,0.8899,0.5192,0.4037,0.1154,0.1,0.93,0.5349,0.72,0.213,0.5492,0.7899,0.2209
standard,v1,0.7935,0.2232,0.5702,0.8639,0.8348,0.8913,0.7152,0.636,0.7975,0.1487,False,False,0.11,0.8899,0.5192,0.4037,0.1154,0.1,0.93,0.5349,0.72,0.213,0.5492,0.7899,0.2209
low,v2,0.7489,0.2668,0.4821,0.8354,0.8013,0.8667,0.712,0.6423,0.7834,0.1234,False,False,0.24,0.7477,0.4038,0.5229,0.2308,0.23,0.85,0.3834,0.75,0.297,0.7438,0.7601,0.2627
medium,v4,0.7754,0.1954,0.5801,0.8693,0.8395,0.8976,0.691,0.6121,0.7705,0.1783,False,False,0.26,0.7844,0.3846,0.578,0.2115,0.1,0.96,0.7172,0.59,0.2107,0.8296,0.779,0.1717
standard,v4,0.7754,0.1954,0.5801,0.8693,0.8395,0.8976,0.691,0.6121,0.7705,0.1783,False,False,0.26,0.7844,0.3846,0.578,0.2115,0.1,0.96,0.7172,0.59,0.2107,0.8296,0.779,0.1717
low,v4,0.7263,0.1893,0.537,0.8325,0.798,0.862,0.6633,0.5859,0.7357,0.1692,False,False,0.21,0.8165,0.7115,0.5183,0.1731,0.1,0.93,0.6083,0.6,0.129,0.9604,0.7382,0.1715
