scenario,model,seed,ham_accuracy,pad_restricted_5class_acc,pad_macro_auc_roc,ham_bacc,pad_bacc,tau_star,tau_source,ham_bacc_tau,pad_bacc_tau,ham_mal_sens_gated,pad_mal_sens_gated,checkpoint_sha256,selected_epoch,selected_loop_acc,final_ham_val_acc,eval_acc_delta,eval_warning,ham_mel_auc_roc,ham_mel_auc_ci_low,ham_mel_auc_ci_high,mel_auc_roc,pad_mel_auc_ci_low,pad_mel_auc_ci_high,mel_auc_gap,meets_auc_target_ham,meets_auc_target_pad,triage_th,ham_triage_sens,pad_triage_sens,ham_mel_recall,mel_recall,bcc_th,ham_bcc_triage_sens,pad_bcc_triage_sens,ham_bcc_recall,bcc_recall,pad_mal_screen_sens,ham_weighted_f1,weighted_avg_f1,params_m,temperature,ham_ece,pad_ece,loss,run,duplicate_of
main,v4,45,0.5965,0.2202,0.7035,0.6688,0.3103,0.1,ham_val_balanced_accuracy,0.707,0.3113,0.9079,0.5783,d2e744761eafe64f1db8a8e25528bf2781a0862a6e33dddba7d944ca48ce704a,16,0.6726,0.625,-0.0476,False,0.8405,0.8097,0.8676,0.8262,0.7714,0.8747,0.0143,False,False,0.17,0.8486,0.5769,0.5229,0.25,0.17,0.89,0.1929,0.78,0.1929,0.5783,0.656,0.196,8.4,4.999999999998336,0.5311,0.0343,focal,main/v4/seed45,
main,v5,44,0.8366,0.2885,0.7508,0.7046,0.358,0.8,ham_val_balanced_accuracy,0.7633,0.4335,0.8684,0.5294,14ea702a5b50d4a050de7f115b53585258f2b7776eb9c5f9ad8a94904f12fc6d,39,0.8681,0.8671,-0.001,False,0.9089,0.8841,0.9329,0.801,0.7314,0.8596,0.1078,True,False,0.2,0.7936,0.2885,0.578,0.1154,0.17,0.84,0.5385,0.69,0.3609,0.5294,0.8353,0.2518,294.1,0.6405163527468059,0.0139,0.4453,focal,main/v5/seed44,
main,v5,42,0.8276,0.2641,0.7209,0.6637,0.3566,0.6,ham_val_balanced_accuracy,0.7159,0.4073,0.8711,0.5618,2ce0552152c338fa6f8c53d02de42149ef037ca3c026515179bb149c3873fd2e,20,0.8552,0.8552,0.0,False,0.9155,0.8916,0.9352,0.7923,0.7315,0.8547,0.1232,True,False,0.18,0.8073,0.4808,0.578,0.2885,0.13,0.91,0.4757,0.73,0.2888,0.5618,0.8254,0.2435,294.1,0.6564581997005005,0.0208,0.4399,focal,main/v5/seed42,
main,v4,44,0.7313,0.2598,0.6994,0.6156,0.3334,0.4,ham_val_balanced_accuracy,0.696,0.3509,0.85,0.5811,4966c1d3cb78457eed4b50c5a1ff3480eeb54d8f1e89a465e01150361a868396,20,0.7827,0.7798,-0.003,False,0.8582,0.831,0.8872,0.7411,0.6667,0.8075,0.1171,False,False,0.19,0.7844,0.5,0.4128,0.1538,0.25,0.86,0.3775,0.75,0.3172,0.5811,0.7407,0.2416,8.4,1.1122121620965588,0.1843,0.1766,focal,main/v4/seed44,
main,v4,43,0.819,0.2363,0.6772,0.6648,0.2951,0.8,ham_val_balanced_accuracy,0.734,0.3229,0.8605,0.6399,b9e59743afec6f677e19cd82f57135f19c1cd923ac6cfd551d627d07acb1e678,34,0.8442,0.8442,0.0,False,0.8972,0.8729,0.92,0.7302,0.6462,0.8054,0.167,True,False,0.09,0.8578,0.6538,0.4725,0.1538,0.18,0.85,0.4142,0.73,0.245,0.6399,0.8157,0.2145,8.4,0.5255410358646825,0.0224,0.4156,focal,main/v4/seed43,
main,v1,44,0.805,0.2137,0.6618,0.6349,0.315,0.7,ham_val_balanced_accuracy,0.7093,0.332,0.8447,0.674,933e8c51e003fb39c1afd9469946580d790c1f7f620bd52255ac6d0c8e88961f,18,0.8294,0.8284,-0.001,False,0.8767,0.8488,0.9028,0.7254,0.6583,0.7879,0.1513,False,False,0.2,0.7294,0.5769,0.5367,0.2115,0.04,0.97,0.4923,0.66,0.1231,0.674,0.802,0.1897,2.2,0.6008479121043523,0.018,0.3893,focal,main/v1/seed44,
main,v2,44,0.805,0.2137,0.6618,0.6349,0.315,0.7,ham_val_balanced_accuracy,0.7093,0.332,0.8447,0.674,933e8c51e003fb39c1afd9469946580d790c1f7f620bd52255ac6d0c8e88961f,18,0.8294,0.8284,-0.001,False,0.8767,0.8488,0.9028,0.7254,0.6583,0.7879,0.1513,False,False,0.2,0.7294,0.5769,0.5367,0.2115,0.04,0.97,0.4923,0.66,0.1231,0.674,0.802,0.1897,2.2,0.6008479121043523,0.018,0.3893,focal,main/v2/seed44,main/v1/seed44
main,v1,44,0.805,0.2054,0.6617,0.6603,0.2832,0.6,ham_val_balanced_accuracy,0.7551,0.298,0.8553,0.4585,ed21674fabd9930d075e6bcbde24e7c6a9363a0fbc473e3f9c373c12ac6efd6f,13,0.8363,0.8373,0.001,False,0.8849,0.8619,0.9104,0.719,0.6507,0.7795,0.1659,True,False,0.14,0.8119,0.3846,0.4633,0.0962,0.05,0.94,0.529,0.78,0.1751,0.4585,0.7995,0.1726,3.2,0.7159197081777087,0.0262,0.4425,focal,main/v1/seed44,
main,v4,42,0.811,0.2724,0.6928,0.6611,0.3389,0.7,ham_val_balanced_accuracy,0.7207,0.351,0.8921,0.6471,b3114f74eb8734e27543a9e26f736eece949c1c3f15d9c04387ff53b5b065b6c,19,0.8423,0.8393,-0.003,False,0.8804,0.8525,0.9052,0.719,0.6417,0.7903,0.1614,True,False,0.11,0.844,0.4615,0.5,0.1538,0.25,0.84,0.3787,0.77,0.2959,0.6471,0.8119,0.2513,8.4,0.5164371704063723,0.0155,0.3439,focal,main/v4/seed42,
main,v1,43,0.796,0.2306,0.6648,0.6322,0.3042,0.8,ham_val_balanced_accuracy,0.6944,0.2984,0.8789,0.6465,60b9b5748635114eabb72fa1afdb2461aa92c24492d12095cf175d0f6a0d51d0,29,0.8214,0.8214,0.0,False,0.8786,0.8532,0.9036,0.7084,0.6387,0.7755,0.1702,True,False,0.12,0.8349,0.4231,0.5,0.0962,0.07,0.88,0.4462,0.63,0.1811,0.6465,0.7958,0.21,2.2,0.6627453985742005,0.0142,0.4106,focal,main/v1/seed43,
