experiment_id,session_id,scenario,model,epochs,batch_size,lr_stage1,lr_stage2,patience,seed,loss,temperature,selected_logit_adjust,val_dataset,ham_accuracy,ham_weighted_f1,ham_macro_f1,ham_mel_recall,ham_mel_auc_roc,ham_macro_auc_roc,ham_harmonized_5class_acc,ham_bcc_recall,accuracy,pad_accuracy,weighted_avg_f1,macro_avg_f1,mel_recall,mel_auc_roc,pad_mel_auc_roc,macro_auc_roc,pad_macro_auc_roc,harmonized_5class_acc,restricted_5class_acc,bcc_recall,domain_gap,stage1_ham_acc,duration_min,completed_at,status
main_v5_ep40_bs32_lr2_3e-05_pat6_seed42,05_09_2026_run2,main,v5,40,32,0.0005,3e-05,6,42,focal,0.6564581997005005,0.6,dual (HAM10000 + PAD-UFES-20),0.8276,0.8254,0.687,0.578,0.9155,0.962,0.8346,0.73,0.2611,0.2611,0.2435,0.1654,0.2885,0.7923,0.7923,0.7209,0.7209,0.2611,0.2641,0.2888,0.5665,0.5585,110.31,2026-09-06 03:10:39,SUCCESS
main_v4_ep45_bs32_lr2_3e-05_pat8_seed43,05_09_2026_run2,main,v4,45,32,0.001,3e-05,8,43,focal,0.5255410358646825,0.8,dual (HAM10000 + PAD-UFES-20),0.819,0.8157,0.6705,0.4725,0.8972,0.9562,0.8233,0.73,0.2237,0.2237,0.2145,0.1349,0.1538,0.7302,0.7302,0.6772,0.6772,0.2237,0.2363,0.245,0.5954,0.5972,19.14,2026-09-06 01:06:40,SUCCESS
main_v4_ep45_bs32_lr2_3e-05_pat8_seed42,05_09_2026_run2,main,v4,45,32,0.001,3e-05,8,42,focal,0.5164371704063723,0.7,dual (HAM10000 + PAD-UFES-20),0.811,0.8119,0.6726,0.5,0.8804,0.9529,0.8176,0.77,0.2624,0.2624,0.2513,0.1628,0.1538,0.719,0.719,0.6928,0.6928,0.2624,0.2724,0.2959,0.5486,0.5456,13.19,2026-09-06 00:47:32,SUCCESS
main_v2_ep30_bs32_lr2_0.0001_pat5_seed42,05_09_2026_run2,main,v2,30,32,0.001,0.0001,5,42,focal,0.6564957375144207,0.9,dual (HAM10000 + PAD-UFES-20),0.807,0.8074,0.6777,0.4725,0.8568,0.9472,0.8119,0.76,0.2454,0.2454,0.2356,0.1463,0.0577,0.6684,0.6684,0.6764,0.6764,0.2454,0.252,0.2639,0.5616,0.6071,10.2,2026-09-05 23:44:32,SUCCESS
main_v1_ep30_bs32_lr2_0.0001_pat5_seed44,05_09_2026_run2,main,v1,30,32,0.001,0.0001,5,44,focal,0.7159197081777087,0.6,dual (HAM10000 + PAD-UFES-20),0.805,0.7995,0.669,0.4633,0.8849,0.9525,0.8098,0.78,0.1976,0.1976,0.1726,0.1172,0.0962,0.719,0.719,0.6617,0.6617,0.1976,0.2054,0.1751,0.6074,0.5179,6.68,2026-09-05 23:34:20,SUCCESS
main_v2_ep30_bs32_lr2_0.0001_pat5_seed44,05_09_2026_run2,main,v2,30,32,0.001,0.0001,5,44,focal,0.6008479121043523,0.7,dual (HAM10000 + PAD-UFES-20),0.805,0.802,0.6549,0.5367,0.8767,0.9505,0.8109,0.66,0.2067,0.2067,0.1897,0.1334,0.2115,0.7254,0.7254,0.6618,0.6618,0.2067,0.2137,0.1231,0.5983,0.6101,9.92,2026-09-06 00:06:39,SUCCESS
main_v3_ep30_bs32_lr2_0.0001_pat5_seed42,05_09_2026_run2,main,v3,30,32,0.001,0.0001,5,42,focal,0.6838459198739091,0.8,dual (HAM10000 + PAD-UFES-20),0.799,0.8022,0.6668,0.5917,0.8865,0.949,0.8047,0.71,0.2476,0.2476,0.2322,0.1488,0.3269,0.6821,0.6821,0.6946,0.6946,0.2476,0.2528,0.3219,0.5514,0.5169,11.15,2026-09-06 00:17:49,SUCCESS
main_v2_ep30_bs32_lr2_0.0001_pat5_seed43,05_09_2026_run2,main,v2,30,32,0.001,0.0001,5,43,focal,0.6627453985742005,0.8,dual (HAM10000 + PAD-UFES-20),0.796,0.7958,0.6536,0.5,0.8786,0.9481,0.801,0.63,0.2241,0.2241,0.21,0.1369,0.0962,0.7084,0.7084,0.6648,0.6648,0.2241,0.2306,0.1811,0.5719,0.5972,12.19,2026-09-05 23:56:44,SUCCESS
main_v1_ep30_bs32_lr2_0.0001_pat5_seed42,05_09_2026_run2,main,v1,30,32,0.001,0.0001,5,42,focal,0.559814049302942,0.6,dual (HAM10000 + PAD-UFES-20),0.7945,0.7946,0.6571,0.5275,0.8863,0.9487,0.7964,0.69,0.2215,0.2215,0.2199,0.1378,0.1538,0.6782,0.6782,0.6598,0.6598,0.2215,0.2446,0.2592,0.573,0.5774,5.64,2026-09-05 23:21:22,SUCCESS
main_v1_ep30_bs32_lr2_0.0001_pat5_seed43,05_09_2026_run2,main,v1,30,32,0.001,0.0001,5,43,focal,0.5867703707611923,0.8,dual (HAM10000 + PAD-UFES-20),0.7905,0.7871,0.6518,0.6101,0.889,0.9463,0.7953,0.7,0.1876,0.1876,0.1622,0.1152,0.0962,0.5934,0.5934,0.6289,0.6289,0.1876,0.1932,0.1349,0.6029,0.5694,6.13,2026-09-05 23:27:35,SUCCESS
